Previous_Fraud_Reports,Fraudulent,Month,Day,Transaction_Amount_Standardized,Transaction_Location_Online,Device_Type_POS,Device_Type_Web,Transaction_Type_Debit,Time_of_Day_non-night,Interaction_Term_time_day_location
0,1,11,11,0.9781779913251276,1,0,0,1,1,1
1,0,5,13,-1.5221791480478712,1,0,0,0,1,1
1,1,12,27,0.4006581605096168,1,0,0,1,1,1
0,0,3,14,-1.5663092724333083,0,1,0,0,1,0
0,0,5,2,-1.51757489814143,1,0,0,1,1,1
0,0,5,9,-0.9634227615463445,0,0,1,0,1,0
1,1,1,14,1.5037311189076692,1,0,1,1,1,1
0,0,2,18,-1.6229599078510084,0,1,0,0,1,0
0,1,1,31,0.29373147193746046,1,0,0,0,1,1
0,1,6,15,1.0826414581640413,1,0,1,0,1,1
0,0,2,20,-1.3122821692430282,0,0,0,1,1,0
0,1,9,6,-0.26600188858484625,1,0,1,0,1,1
0,1,4,26,-0.1745300975541744,1,0,0,0,1,1
1,0,8,13,-1.0960417881968807,1,0,1,0,1,1
0,1,5,31,-1.0454366125886156,0,0,1,0,0,0
2,0,4,2,0.519093741624435,0,0,0,1,1,0
2,1,12,18,0.8977612502955493,0,1,0,1,1,0
0,0,3,7,-0.7645357949331264,1,0,1,0,0,0
0,1,9,27,0.9431593622398708,1,0,0,1,1,1
0,0,4,7,0.6520869285382487,0,0,0,0,0,0
0,1,4,23,0.7015280499940951,0,0,0,0,0,0
1,0,4,11,-0.9686956497010497,1,0,0,0,1,1
0,1,12,25,-0.958354275757689,1,0,1,0,0,0
2,1,9,22,0.13941115001683627,0,0,1,0,1,0
1,0,5,7,-1.5807317648038983,1,0,1,0,1,1
1,1,7,15,-0.5442039021191032,1,1,0,0,1,1
0,1,3,17,-1.3311010447071272,1,0,1,1,0,0
0,1,11,3,-0.5759417000069184,1,0,1,1,0,0
0,0,1,20,-0.1649716886061906,0,0,0,0,1,0
3,1,2,1,1.0057064862510723,1,0,0,0,1,1
0,1,10,29,0.87235299686151,1,0,0,1,0,0
0,1,12,11,-0.7641650991167313,1,1,0,0,1,1
0,1,3,5,0.7746902392523506,1,0,0,0,1,1
1,1,9,24,1.0152337151771167,1,0,1,1,0,0
0,1,11,11,-0.1387458257079521,1,0,1,1,1,1
0,1,7,27,-0.6420918487756054,1,0,1,1,1,1
1,1,9,27,1.6947433977576514,0,0,1,0,1,0
0,1,11,17,1.3468956085505697,1,0,1,1,1,1
0,1,7,27,-0.7386113389136394,1,0,0,1,1,1
1,0,12,16,-1.4584991499061912,0,1,0,1,1,0
0,1,11,4,-0.2719468794346978,0,0,0,1,1,0
2,0,8,13,-0.7529368267715277,0,0,0,0,1,0
4,1,4,2,-0.7809884531766843,1,0,1,0,0,0
1,0,8,11,-1.5752025075799103,1,0,1,1,1,1
2,1,10,25,1.61198815508259,1,0,1,0,1,1
0,1,11,9,-1.6238364129122047,1,0,0,1,0,0
0,1,5,12,0.02796335826341161,0,0,0,1,0,0
0,1,8,31,-1.022896921173036,1,0,0,1,1,1
0,1,10,26,1.586943668571181,0,0,0,0,1,0
1,1,11,12,0.35320563156415213,1,0,1,1,1,1
0,1,6,29,-0.29519331801424564,1,0,1,1,1,1
0,1,7,28,-0.46125465041863856,1,1,0,0,0,0
0,1,10,4,-0.9600310680486728,1,0,1,1,1,1
0,1,7,10,0.7072998184998368,1,0,1,0,0,0
0,1,7,2,1.355899705997402,0,0,0,1,1,0
0,1,10,17,-0.6914706101875724,1,0,0,0,1,1
0,0,3,30,-0.07387405783879611,0,0,1,0,1,0
0,0,1,19,-1.1775463655474687,1,0,0,1,1,1
0,1,5,14,-1.1770994518996654,0,0,0,0,1,0
2,0,7,21,1.609382891027177,0,0,0,1,1,0
0,0,9,8,-1.1400714436227342,0,0,0,1,1,0
0,1,3,24,-0.43852441442453793,1,0,0,0,1,1
0,1,2,22,1.5540175654027724,1,0,0,1,1,1
1,0,3,6,0.18232178909973987,0,0,0,0,1,0
0,1,6,13,-1.0320049520263346,1,1,0,0,0,0
1,0,3,1,-1.1604770357588798,1,0,1,0,1,1
0,0,9,1,-1.3993298616051328,1,1,0,1,1,1
2,1,12,5,-1.2837559136150105,0,0,0,1,0,0
0,1,3,15,1.7150866298499179,0,0,0,1,0,0
2,1,8,25,1.000416275861956,0,0,0,1,1,0
0,1,6,26,-1.2047180224445473,1,0,0,1,0,0
0,1,12,7,1.6937213859274034,0,0,0,0,0,0
0,1,11,1,1.5313081160899646,0,1,0,0,1,0
0,0,4,9,-1.2186416344641007,1,0,1,0,1,1
0,1,1,11,-1.2769829199603135,1,0,0,0,0,0
0,1,9,15,0.9051890244109818,1,0,1,1,1,1
0,1,4,12,0.611972098089279,1,0,0,0,1,1
0,1,1,5,1.4032864104521054,1,0,1,1,0,0
0,1,4,23,0.33206211224209803,0,0,0,0,1,0
0,1,1,6,-0.4086574178531097,1,0,0,1,1,1
0,0,5,10,-1.1991749074330305,1,0,0,0,1,1
0,1,10,23,0.6877984469999447,1,0,0,0,1,1
1,1,5,26,-1.6968461665076435,0,0,1,1,1,0
0,1,5,8,-0.5723005663337285,1,0,0,1,1,1
1,0,3,29,-0.5315240265302589,0,0,0,0,1,0
0,1,2,16,-0.46500318194517676,0,0,1,0,0,0
0,1,12,10,-0.8536898709996076,1,0,1,1,1,1
0,1,10,29,0.18726555480063614,0,0,1,1,0,0
0,1,4,1,0.17184530172797313,0,0,1,1,0,0
0,0,3,26,-0.852279841118553,0,0,1,1,1,0
0,1,3,7,0.5292930732456256,1,0,1,0,1,1
0,1,1,1,0.21182848319541955,0,1,0,1,1,0
2,1,3,2,1.303493018010394,1,0,0,0,1,1
0,1,3,28,-0.8939813882395694,1,0,0,1,1,1
1,1,5,4,0.2379192326652519,0,0,1,1,1,0
1,1,11,8,-1.545508733352592,1,0,0,0,0,0
0,0,8,31,-1.4764796292247986,1,0,0,1,1,1
0,0,1,20,0.7646918455503275,0,1,0,0,1,0
0,1,10,19,0.9978352629347186,1,0,1,0,1,1
0,1,7,17,-0.7229728256873981,0,1,0,1,1,0
1,1,10,7,1.153621045886512,1,0,1,0,1,1
0,1,4,8,0.2720786789237235,1,0,0,1,0,0
0,0,9,28,-0.6470771878390882,0,0,0,0,1,0
1,0,9,26,0.8326296489102285,0,0,0,1,1,0
0,1,7,4,0.2828877531961809,0,0,1,1,0,0
2,1,10,23,-0.2659603152222599,1,0,0,0,0,0
0,1,10,18,-0.6557521628321118,1,0,0,0,1,1
0,1,6,16,0.6499770803869901,1,0,1,0,1,1
1,1,6,3,1.3514825362225997,1,0,0,0,0,0
0,1,6,12,-1.256861412468508,1,0,1,1,1,1
0,1,10,8,-0.8330036586660038,1,0,1,0,0,0
0,1,11,20,1.2551813062381445,1,0,0,0,0,0
1,1,10,5,0.014947431326993818,0,0,1,1,1,0
0,1,1,6,-0.1515192413626161,1,1,0,1,1,1
0,1,2,16,0.6348443764055495,1,0,0,1,0,0
0,1,11,29,1.3726433777790645,0,0,1,1,1,0
0,1,3,10,1.0477198335914863,1,0,1,0,1,1
0,1,2,7,1.3348601200818142,1,0,1,1,1,1
1,1,3,16,1.6895120829655323,1,0,1,0,0,0
1,1,11,21,0.07829137812110058,1,0,0,0,1,1
0,1,1,14,-0.7807632641293415,1,0,1,1,1,1
0,1,10,21,1.1099932662989942,0,1,0,0,0,0
0,0,4,6,-0.8569464510688737,1,0,0,0,1,1
0,0,2,9,-1.293442507097636,1,0,1,1,1,1
0,1,11,3,0.030669091278408004,1,0,1,0,1,1
0,0,4,25,-1.5633506347959112,1,0,0,0,1,1
0,1,9,29,1.4321175374057562,1,0,1,1,1,1
0,1,12,1,0.4924660028878616,1,0,0,0,1,1
0,1,11,2,1.4214331832210578,1,0,1,1,1,1
0,1,10,5,0.686138976943372,0,0,0,0,1,0
0,1,3,21,-1.2152049031569603,0,0,0,1,1,0
0,1,5,11,0.5742130915202037,0,0,0,0,1,0
3,0,8,23,-1.714535632288146,1,0,0,0,0,0
0,1,6,12,1.2202111794092385,1,0,0,1,1,1
0,1,10,10,0.36795378194166856,1,1,0,1,1,1
0,1,8,27,1.179174806089604,0,0,0,0,0,0
3,0,4,8,-1.6849908292767624,1,0,0,0,1,1
0,1,9,10,0.5751311699439863,0,0,1,1,1,0
0,1,11,5,0.10945754227335307,0,0,1,0,1,0
1,0,3,4,-1.7209898968296808,1,0,0,0,1,1
0,0,7,26,-1.6473080405390956,0,0,0,0,1,0
0,1,6,28,0.1008622495586202,1,0,0,1,1,1
1,0,7,11,-1.446487912565611,1,0,1,1,1,1
0,1,7,19,-1.1148918436829196,1,0,1,0,1,1
2,0,3,2,0.18709926135029079,0,0,0,1,1,0
1,1,1,8,0.4781924817332062,0,0,1,0,1,0
1,1,12,20,0.5807054649774428,1,0,0,0,1,1
0,1,3,3,0.9086881157620015,0,0,0,0,0,0
0,0,9,20,-0.5973762328670769,1,0,0,1,1,1
0,0,11,14,-1.4476346444836186,0,0,0,1,1,0
2,0,4,4,-1.6384563787550799,1,0,0,0,0,0
0,1,4,24,-0.3924645931257167,1,0,1,1,0,0
0,1,9,5,0.6896692483163316,1,0,1,1,0,0
1,1,4,13,-1.352050555003778,0,0,1,0,0,0
0,0,9,15,0.4743434812470845,1,0,0,1,1,1
1,1,3,24,0.7228240049789656,1,0,0,0,1,1
1,0,10,5,-1.4634810245227918,1,0,1,1,1,1
0,0,1,27,-0.5574173025278062,1,0,0,1,1,1
0,1,8,12,-0.848392731716727,0,0,0,1,1,0
1,0,8,9,-0.4825263542753338,1,0,0,1,1,1
1,1,6,21,-0.011555587321820248,0,0,0,1,0,0
0,1,9,28,1.579259525386466,1,0,0,1,0,0
0,1,8,28,-0.8045120475068083,0,1,0,1,1,0
1,0,7,8,-1.676987956978885,1,1,0,0,1,1
0,1,12,16,-1.0441235872202628,1,0,1,0,1,1
0,1,2,5,-1.0998596086610628,0,0,0,0,0,0
2,1,1,2,0.5141880848392428,1,0,0,1,1,1
0,1,4,22,1.4970447364250274,1,0,0,0,1,1
1,1,1,2,1.3271759768970992,1,0,1,1,0,0
1,1,11,6,0.5028420213000446,1,0,0,1,1,1
0,0,1,3,1.0614944743951054,1,0,0,0,1,1
0,1,9,16,0.9524891176936299,1,0,0,0,1,1
0,1,9,10,-1.30093610570383,1,0,1,1,1,1
0,1,1,24,-0.9247629987878979,1,0,1,0,0,0
1,0,1,25,0.8785786079088195,0,0,0,1,1,0
0,1,4,10,1.5768101614407521,1,0,0,0,1,1
0,0,5,21,-1.3412553385188493,1,0,0,0,1,1
0,1,6,1,0.27460772514772774,1,0,1,0,0,0
0,1,12,11,0.8162670662856079,1,0,1,0,0,0
0,1,4,13,-0.3827433551742694,1,0,0,1,0,0
1,0,9,20,0.6649123108961452,0,0,1,0,1,0
0,1,8,16,0.9970696201737528,1,1,0,0,0,0
0,1,8,29,1.5449822879340003,0,0,1,0,1,0
0,1,2,20,1.108780709890225,1,0,0,1,0,0
0,0,1,3,-0.042527742448669505,1,0,0,0,0,0
0,0,9,11,-1.6520751194489998,0,1,0,1,1,0
0,1,3,12,1.365246783685572,0,1,0,0,1,0
0,0,10,6,0.17782147259976455,1,0,1,0,1,1
1,1,6,3,1.2286644298018012,1,0,1,1,0,0
0,1,12,25,0.6357659192762141,0,1,0,1,0,0
0,1,12,3,-0.6748932318562553,1,0,0,1,0,0
0,1,1,26,-1.6287143541223394,0,0,0,0,1,0
0,1,1,15,-0.6053271384617211,1,1,0,0,0,0
0,1,5,21,1.5323335923670955,0,0,0,1,0,0
